"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"339","gonzaga south-dakota-state 2017",20,1,1,1,20,20,15,4.58853805062393,9.45358929325523,-5.27235383936685,0.866811288930196,2.67776092476352,0.0379897970979321,0.386200186837982,-2
"340","northwestern vanderbilt 2017",2,1,1,1,2,2,1,0.609905539949462,0.207137805582356,-5.14306373675045,1.2989835163187,2.40066179770896,0.096822316232925,0.115809256793441,0
"341","notre-dame princeton 2017",2,1,1,1,2,2,7,-0.740975007759203,2.69072368379285,-5.07614641884532,0.237509557449556,-0.116979947065557,0.0328408908621505,0.0941604639412386,2
"342","west-virginia bucknell 2017",6,1,1,1,6,6,9,1.42155245939501,6.08639230203414,-5.26798999700338,1.47660842160569,3.78574881463083,0.190664661041834,0.213197518427979,-1
"343","maryland xavier 2017",-11,1,1,0,-11,-11,5,0.276154838972332,-0.901845631139562,-5.00902552019414,-0.16235522201732,0.880085595736864,-0.0413816153759055,-0.0882193658282665,0
"344","florida-state florida-gulf-coast 2017",6,1,1,1,6,6,11,-0.21709719665665,5.1880171018226,-5.29529742663473,0.538778390344585,2.53224355992228,0.0195099193314685,0.00506102953785046,2
"345","saint-marys-ca virginia-commonwealth 2017",8,1,1,1,8,8,3,1.99515941023323,2.62254146163567,-4.87031924854898,-0.239529065735732,-3.16064586367812,0.0490088165409757,0.261629526284841,-2
"346","arizona north-dakota 2017",18,1,1,1,18,18,13,1.19487223926724,6.82809585664775,-5.19996575714953,0.618290199135834,-1.23280991456102,0.0475995630032838,0.155355256588102,1
"347","gonzaga northwestern 2017",6,2,1.5,1,9,12,7,3.09429566146282,3.6888238863793,-4.82616855662947,-0.446237445594168,0.110743981839994,-0.0255281947635735,0.341276635164361,-1
"348","west-virginia notre-dame 2017",12,2,1.5,1,18,24,1,1.38980490838698,1.8604771216904,-5.20655634453782,-0.80187569305266,3.82937611390248,0.239299695438715,0.00471626264411498,1
"349","florida-state xavier 2017",-25,2,1.5,0,-37.5,-50,8,1.02936999605348,0.82681004802949,-5.00171783241507,0.674299377249591,3.37250531157065,0.0617123628921381,0.152455032218563,2
"350","arizona saint-marys-ca 2017",9,2,1.5,1,13.5,18,5,-0.956977647852307,-0.157184899632089,-5.42990300557373,0.580463222351197,0.770776569132252,-0.0620058782665073,-0.0544504091474295,1
"351","gonzaga west-virginia 2017",3,4,1.75,1,5.25,12,3,1.29248689097492,0.759621852124345,-4.86487243687652,-0.239471371351276,-3.65906200610116,-0.181148494719192,0.113710680156937,-2
"352","arizona xavier 2017",-2,4,1.75,0,-3.5,-8,9,1.81043090263744,1.12995815890232,-4.98447947936749,0.732607304442643,0.0432364763224768,-0.0428449342844099,0.184324492970665,0
"353","gonzaga xavier 2017",24,8,1.875,1,45,192,10,3.5715256170951,3.32695943149353,-4.9632117431384,0.704612681951151,1.79337816247474,-0.0671188397957962,0.302762215572146,-1
"354","kansas california-davis 2017",38,1,1,1,38,38,15,2.3387725468807,9.46235009708893,-4.73852122463211,1.40219894457316,0.989195588866556,0.0976997703047386,0.550081926708957,-1
"355","miami-fl michigan-state 2017",-20,1,1,0,-20,-20,1,0.408251513295353,0.252836661381849,-5.0791406532304,0.697937934319825,2.00908520012619,0.060460361295,0.0809850718285134,-2
"356","iowa-state nevada 2017",11,1,1,1,11,11,7,-0.0247141439414618,2.88345872316718,-5.03727480421877,0.770490355102532,0.621333080366544,-0.0870995798645885,0.0291720675498759,2
"357","purdue vermont 2017",10,1,1,1,10,10,9,-0.212047363003173,4.28804537075289,-5.22988597075264,-0.466407247535521,-2.93740152228858,-0.00836483192813615,-0.0887895293789818,-2
"358","creighton rhode-island 2017",-12,1,1,0,-12,-12,5,-0.285139529279588,1.08244385391404,-4.81024471655757,-1.42921040543938,-4.04453817065433,-0.253090240886693,-0.00370990357652197,-1
"359","oregon iona 2017",16,1,1,1,16,16,11,2.15821940155859,6.43088349766357,-5.1387783415277,-0.159218666363946,4.13645030119551,0.101464817174639,0.246438955723638,-1
"360","michigan oklahoma-state 2017",1,1,1,1,1,1,3,0.61990510294929,0.643585779546306,-5.22176201337175,1.21592732095323,-0.797211755380768,-0.240778307440356,0.0228441307946824,-1
"361","louisville jacksonville-state 2017",15,1,1,1,15,15,13,2.07108967248903,8.46851918226721,-5.15534775814467,2.07274935395424,3.65713751903868,0.117484311441206,0.277462494221042,1
"362","kansas michigan-state 2017",20,2,1.5,1,30,40,8,1.77484633936773,3.38342555665309,-5.03826540953786,1.53180076484748,1.32684391785449,0.10996561724703,0.347692543936228,-3
"363","purdue iowa-state 2017",4,2,1.5,1,6,8,1,0.599987657413047,0.320273801141369,-5.16711031984008,-1.75991355398711,-3.22475653389545,0.0848983438936542,-0.086325551026,-1
"364","oregon rhode-island 2017",3,2,1.5,1,4.5,6,8,1.04402636573074,2.52812047913983,-4.82229436701433,-0.531732089636155,0.610949463246225,-0.00914299127465865,0.216600915723448,-2
"365","louisville michigan 2017",-4,2,1.5,0,-6,-8,5,0.421883938556,1.0432857425455,-5.5310826489175,-0.288306534798107,3.77048889997691,0.278136322759991,-0.0453598447189965,1
"366","kansas purdue 2017",32,4,1.75,1,56,128,3,0.0670421095650484,1.17746996195171,-5.35440601393446,0.524940333139321,2.65703459233621,0.0667496966573532,0.171432826537152,-1
"367","oregon michigan 2017",1,4,1.75,1,1.75,4,4,0.715586882963202,0.218051245652933,-5.49584915050507,-1.00758755085433,4.35017791854071,0.153870561461082,0.0444336897124302,0
"368","kansas oregon 2017",-14,8,1.875,0,-26.25,-112,2,-0.439691489195953,1.00619097470837,-5.26309176774263,-0.0456718036720387,-3.136923283653,0.0425686459630388,-0.0407332031589466,-1
"369","north-carolina texas-southern 2017",39,1,1,1,39,39,15,1.97436788409761,10.018188562204,-4.88003518686406,0.268310838030436,0.614586530835654,0.0414654753516609,0.199325582331564,1
"370","arkansas seton-hall 2017",6,1,1,1,6,6,1,0.238490604407463,0.154310968719449,-4.79326144065274,0.778967063676323,2.7099498460135,-0.104696053375007,0.132839332457963,2
