"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"142","duke cal-state-fullerton 2022",17,1,1,1,17,17,NA,2.04893784240369,5.69140984889087,-4.85425441733219,1.16396488680931,2.58080682811291,0.0563641816213212,0.475179915173053,0
"143","baylor norfolk-state 2022",36,1,1,1,36,36,NA,-0.0173782198480223,7.16418483775954,-5.16052587704828,0.799422413187711,2.18884073937849,0.0236521620459947,0.0940189315641348,-1
"144","north-carolina marquette 2022",32,1,1,1,32,32,NA,0.835170016047529,1.0483899908831,-5.03361637313582,1.10924245586169,-2.84227105377633,0.136714408156781,0.220362832977531,-3
"145","saint-marys-ca indiana 2022",29,1,1,1,29,29,NA,1.1195895236266,0.532729254265444,-4.93384351354095,-0.274998336565228,-2.08891776243359,-0.0309980034875769,0.0471214689620787,-1
"146","ucla akron 2022",4,1,1,1,4,4,NA,0.671337549497682,6.06123005603555,-5.14421777571362,1.72417403528228,1.49072964899502,0.0611851332268875,0.161376825931237,1
"147","texas virginia-tech 2022",8,1,1,1,8,8,NA,0.122055111560458,0.617825309355134,-5.24785311513539,0.0331364440947572,2.12392031594755,0.0880651551888425,-0.123717640493258,1
"148","purdue yale 2022",22,1,1,1,22,22,NA,1.70376608800884,6.24457168009314,-4.86282638385128,0.542715683702576,-0.531219311995708,0.192701392333683,0.434171276215375,1
"149","murray-state san-francisco 2022",5,1,1,1,5,5,NA,-6.31017356080732,-4.89622233001288,NA,NA,-10.8390667574932,-0.496491360507287,-1.71841954622988,1
"150","kentucky saint-peters 2022",-6,1,1,0,-6,-6,NA,1.8242074727409,6.61742234783149,-4.71943783878602,1.75278934031434,-2.26908215627286,0.099297033811436,0.466280667631916,-2
"151","arizona bryant 2022",17,1,1,1,17,17,NA,2.62551274459887,8.25943268635024,-4.90025936390827,0.46098930492828,2.01755576675431,0.117741545841773,0.373059724819818,-1
"152","seton-hall texas-christian 2022",-27,1,1,0,-27,-27,NA,0.588485458110072,0.0870956620863232,-4.71040753731266,1.22139506801368,1.6556999747249,-0.0720516346793123,0.15711865763167,0
"153","houston alabama-birmingham 2022",14,1,1,1,14,14,NA,0.838540187776966,3.67319573935135,-5.04962216538027,-0.0810817912288231,1.56115223034876,0.136263970175839,0.0627739500700823,-2
"154","illinois chattanooga 2022",1,1,1,1,1,1,NA,-0.668900178713179,3.1524229638626,-5.16554775718092,-0.277168789429594,-2.21404706215301,-0.0382592071046645,-0.121028911239294,-2
"155","colorado-state michigan 2022",-12,1,1,0,-12,-12,NA,1.20346547032874,-0.573279726474133,-4.99684883156335,0.773850971864364,2.34159328412813,-0.150479882783534,0.128025075987219,1
"156","tennessee longwood 2022",32,1,1,1,32,32,NA,-0.224873044290415,6.40184989771145,-5.08313457718733,-0.273101636614347,2.78344588062511,-0.0637337830997666,-0.117664116101463,0
"157","ohio-state loyola-il 2022",13,1,1,1,13,13,NA,-1.51974397569508,0.0247365222815157,-5.36184583676182,0.635067425161801,0.173230009396729,0.0716725793355142,0.0329814072616628,-1
"158","villanova delaware 2022",20,1,1,1,20,20,NA,1.63753114940012,6.1853766094087,-5.21528183768994,1.68338037843999,-1.1791293744179,0.00901993092661364,0.13274159972954,-1
"159","kansas texas-southern 2022",27,1,1,1,27,27,NA,1.54531455744276,7.53396510361889,-4.67416715276428,1.31549585205781,-0.840424873685619,-0.0434764855610957,0.380266196544228,-1
"160","san-diego-state creighton 2022",-3,1,1,0,-3,-3,NA,0.748808350637299,0.508226134406409,-5.0924543245159,0.107921271515552,3.31562210344756,-0.0828613892298989,-0.0913272905307638,2
"161","iowa richmond 2022",-4,1,1,0,-4,-4,NA,1.83714956833341,3.52462287662294,-4.93542148014867,0.590021546136828,1.31984777969068,0.196179976236444,0.378525913506291,1
"162","providence south-dakota-state 2022",9,1,1,1,9,9,NA,-1.61964920854444,1.61665851036049,-5.78871056501237,-0.452180892300758,0.837424399048323,0.0952301693562331,-0.387132723507285,-1
"163","louisiana-state iowa-state 2022",-5,1,1,0,-5,-5,NA,1.44581340829001,2.03928065925638,-4.78747557139185,0.0840249579750907,4.20530706270747,0.134042773029544,0.284983520497195,-1
"164","wisconsin colgate 2022",7,1,1,1,7,7,NA,-0.626863068983176,4.74784888732392,-5.32862455756069,1.65948769272708,-1.26530359214556,-0.0103705761118137,-0.0869709493993263,-1
"165","southern-california miami-fl 2022",-2,1,1,0,-2,-2,NA,0.647018337918311,0.861685666539818,-5.19286213693543,-0.953069509113455,-2.57961308803628,0.188685149357441,-0.141366667337191,0
"166","auburn jacksonville-state 2022",19,1,1,1,19,19,NA,0.541080399342207,5.53714619955584,-5.2674825186507,1.19377610451342,7.12811708286075,0.000592809213981838,0.0744139565144906,0
"167","wyoming indiana 2022",-8,1,1,0,-8,-8,0,0.671171264663719,-1.06293469926837,-4.9214592050925,-0.082980703280942,-5.24265695193427,-0.012277596899861,0.0111380098950029,-1
"168","baylor north-carolina 2022",-7,2,1.5,0,-10.5,-14,NA,0.949175585041786,1.63941959338315,-5.19266969311017,-0.551360882588406,2.9639957928232,0.0609584979003822,-0.0819942525940849,2
"169","ucla saint-marys-ca 2022",16,2,1.5,1,24,32,NA,0.359034041070423,1.39159494730486,-5.06362547549243,1.73099402065004,1.24263733143656,0.158750841941225,0.209963630655925,1
"170","purdue texas 2022",10,2,1.5,1,15,20,NA,0.232815472927278,0.821624813866838,-4.81897653267868,0.137582232647452,-2.73256363041661,0.0662329573412603,0.30872070432371,1
"171","murray-state saint-peters 2022",-10,2,1.5,0,-15,-20,NA,-5.25682865179269,-0.529196872533958,NA,NA,-11.9152906870785,-0.51826872748244,-1.47798997790985,0
"172","ucla north-carolina 2022",-7,4,1.75,0,-12.25,-28,NA,0.899775601574783,1.26760552561109,-5.19760189944123,1.21614656521953,1.12621810663259,0.0773045726536422,0.000258638371535369,3
"173","purdue saint-peters 2022",-3,4,1.75,0,-5.25,-12,NA,1.11335071955143,5.70418019802555,-4.68385798216018,1.22296503207279,-3.80656565770134,0.0865105351136741,0.423678774639981,1
"174","north-carolina saint-peters 2022",20,8,1.875,1,37.5,160,NA,0.406187865581986,4.63858708105708,-4.71013743648293,1.52461736433398,-2.92505207536488,-0.0366070480871518,0.347032330033199,-3
"175","gonzaga memphis 2022",4,2,1.5,1,6,8,NA,3.51975176426446,4.32251743493056,-4.98463303198927,2.73254122159345,-2.86756871060782,-0.185337590148033,0.472032466417881,-2
"176","arkansas new-mexico-state 2022",5,2,1.5,1,7.5,10,NA,0.0593146174071393,3.44389064809204,-5.00481004445512,1.28614579742003,1.32733804363829,-0.154326255556716,0.0833779855161847,-4
"177","texas-tech notre-dame 2022",6,2,1.5,1,9,12,NA,1.39292580067311,2.87520872805712,-5.17395303218063,-1.98660532056337,5.8613092837325,0.158924217980725,0.00418011641262304,3
"178","duke michigan-state 2022",9,2,1.5,1,13.5,18,NA,2.15157429486689,1.65597296307018,-4.9708883177141,1.95648627483378,0.718693965406326,-0.00316750013088409,0.389190555068418,-1
"179","gonzaga arkansas 2022",-6,4,1.75,0,-10.5,-24,NA,3.06187803451058,3.01025748584367,-4.79261065247878,0.16903600178675,0.0814901660506742,-0.00557392186971333,0.468243963548619,1
"180","duke texas-tech 2022",5,4,1.75,1,8.75,20,NA,0.286304027344466,-0.209694352952084,-5.00886829085449,2.37461004254379,-0.971532465744836,-0.00355778685879979,0.379832976905875,-2
"181","duke arkansas 2022",9,8,1.875,1,16.875,72,NA,1.26013904232196,0.799510273832969,-4.82930049487257,0.961046296093275,0.213663091351179,0.0532349222772111,0.390928568832438,1
"182","kansas creighton 2022",7,2,1.5,1,10.5,14,NA,1.1985713954378,2.41688739866943,-5.05217111417249,0.92527730268896,0.0257845934215339,-0.00811244152408994,0.209828649369716,2
