Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed - Score,Worse Seed - Score,Game Winner - Team,Game Winner - Seed,Better Seed vs. Spread,Better Seed vs. Spread (Points),O/U,O/U Margin,Margin of Victory,Total Points Scored,Better Seed Conference,Worse Seed - Conference,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,
455,2015,East,3) Sweet 16,Syracuse,4,Louisville,-2.5,128.5,8,North-Carolina-State,75,65,Louisville,Better Seed,Win,-7.5,OVER,11.5,10,140,ACC,#N/A,19,37,No,18,5.08,20.44,15.36,78,29,6,78,,,
456,2015,East,3) Sweet 16,Syracuse,3,Oklahoma,1,137,7,Michigan-State,58,62,Michigan State,Worse Seed,Loss,3,UNDER,-17,4,120,Big 12,Big Ten,10,16,No,6,2.99,24.04,21.05,49,15,4,34,,,
457,2015,East,4) Elite 8,Syracuse,4,Louisville,2,127,7,Michigan-State,70,76,Michigan State,Worse Seed,Loss,4,OVER,19,6,146,ACC,Big Ten,19,16,Yes,-3,-0.61,20.44,21.05,78,15,6,34,,,
458,2015,South,1) Round of 64,Charlotte,1,Duke,-23,143.5,16,Robert-Morris,85,56,Duke,Better Seed,Win,-6,UNDER,-2.5,29,141,ACC,NEC,6,183,No,177,30.86,29.29,-1.57,3,206,37,170,,,
459,2015,South,1) Round of 64,Charlotte,8,San-Diego-State,-4,123.5,9,St.-John's,76,64,San Diego State,Better Seed,Win,-8,OVER,16.5,12,140,Mountain West,Big East,33,40,No,7,1.9,16.2,14.3,159,63,5,50,,,
460,2015,South,1) Round of 64,Portland,5,Utah,-7,131,12,stephen-f-austin,57,50,Utah,Better Seed,Push,0,UNDER,-24,7,107,Pac-12,Southland,8,45,No,37,12.9,26.93,14.03,14,26,7,108,,,
461,2015,South,1) Round of 64,Portland,4,Georgetown,-8,149,13,Eastern-Washington,84,74,Georgetown,Better Seed,Win,-2,OVER,9,10,158,Big East,Big Sky,22,135,No,113,16.56,19.53,2.97,37,45,19,282,,,
462,2015,South,1) Round of 64,Louisville,6,SMU,-4,132.5,11,UCLA,59,60,UCLA,Worse Seed,Loss,5,UNDER,-13.5,1,119,American,Pac-12,28,42,No,14,3.37,17.54,14.17,32,46,51,69,,,
463,2015,South,1) Round of 64,Louisville,3,Iowa-State,-14,145.5,14,UAB,59,60,UAB,Worse Seed,Loss,15,UNDER,-26.5,1,119,Big 12,C-USA,14,138,No,124,20.17,23,2.83,8,154,61,136,,,
464,2015,South,1) Round of 64,Seattle,7,Iowa,-2.5,145.5,10,Davidson,83,52,Iowa,Better Seed,Win,-28.5,UNDER,-10.5,31,135,Big Ten,Atlantic 10,25,30,No,5,1.47,18.24,16.77,33,7,39,168,,,
