"","teams","finalFourTeam","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"396","buffalo 2016",0,14,4.41927269002254,0.923136268182749,5.44114666666667,-7.94357895559774,9.31136330355835,0.551738309260397,1.55475344447859,9
"397","iowa 2016",0,7,5.86514338018226,6.30736054608275,5.50104218362283,-6.38274540631836,11.0147610786942,0.540078638635743,1.81876988363144,9
"398","temple 2016",0,10,4.12119067769762,3.09209814501109,4.9825,-5.77501252725509,7.76943933823529,0.485738647515201,1.48388543074137,9
"399","villanova 2016",1,2,7.4308763376244,8.96706388252398,6.01791312867407,-6.95150262859777,10.224072191154,0.504046937295505,1.92452097469962,8
"400","north-carolina-asheville 2016",0,15,5.36614888492731,0.567868468258332,5.49746590409151,-7.76836592560025,11.2616353229763,0.503137994294589,1.61266007823188,7
"401","oregon 2016",0,1,6.17023912866611,6.64048586816468,5.66481877804625,-6.85537384812856,12.3606686599619,0.601998770630606,1.87347088253491,8
"402","holy-cross 2016",0,16,2.73772205326141,-3.36444907527826,5.25749079189687,-7.26579398637203,8.96703633445206,0.370265670915033,1.35275331696273,9
"403","saint-josephs 2016",0,8,5.53827141073212,4.74326427318299,5.53469402985075,-6.13764403901901,8.13882894547547,0.439446897400604,1.70182001118514,8
"404","cincinnati 2016",0,9,6.37958508244633,5.84762220898353,5.33206377325067,-6.53001202434561,13.3488320707071,0.673280128354947,1.82650957524571,8
"405","baylor 2016",0,5,5.59086422223637,5.91539154242885,5.5494968798752,-7.80495805841941,11.4024780058651,0.746837279532823,1.81340822471052,9
"406","yale 2016",0,12,6.62669266587736,4.03791065072418,5.66819912152269,-8.09462336478499,10.0359158826785,0.659058732746523,1.78879723074363,8
"407","duke 2016",0,4,6.04394824609711,7.17624728514767,5.78831074035454,-6.08477163000197,9.32215893303695,0.683139204633348,1.97711288216767,8
"408","north-carolina-wilmington 2016",0,13,5.68154031747735,2.55490501334807,5.50324800671422,-6.42602110096555,10.2134451019066,0.542866551424312,1.72538283389225,9
"409","texas 2016",0,6,4.68345953775207,5.61412581599779,5.286356152513,-6.63088399944411,9.20399455288243,0.616872074949318,1.60809469872881,11
"410","northern-iowa 2016",0,11,5.16460389576479,3.60304106393719,5.74776150627615,-6.94737598837074,8.49933737487664,0.288127665500374,1.59477936184657,8
"411","texas-am 2016",0,3,6.08895249898883,6.47688848153357,5.49334933530281,-7.63673291124361,10.1084245076586,0.609110538834609,1.70659626181403,9
"412","green-bay 2016",0,14,4.64278816652406,0.779531132648903,5.34180272108844,-6.61748419458576,12.1455687369156,0.527759971754947,1.68149696637881,10
"413","oregon-state 2016",0,7,4.33797655786598,3.98430621809706,5.30576518958429,-6.81197721791091,10.5043957880662,0.475495133626847,1.58683347396386,9
"414","virginia-commonwealth 2016",0,10,5.79840102555442,5.06804776197312,5.49188811188811,-7.07205632556651,11.3212235755285,0.56356955884272,1.71675967790222,10
"415","oklahoma 2016",1,2,6.04351242034877,7.45239765306354,5.81899066091954,-7.66929977672101,10.0409321910847,0.528133328346946,1.80944155980923,8
"416","cal-state-bakersfield 2016",0,15,5.94845040263006,1.4888808527834,5.27429730884237,-7.64976014329302,12.7618326449442,0.619048994397397,1.66104632210563,9
"417","north-carolina 2016",1,1,6.84446270477216,8.63017213772495,5.76690468700849,-6.41368682611333,10.7608134790049,0.71642047152772,2.04031152928853,9
"418","florida-gulf-coast 2016",0,16,5.24172374167203,0.106104132481774,5.4773140022892,-7.57298731259943,9.66354181507337,0.575305728725158,1.65771787955531,10
"419","southern-california 2016",0,8,5.07530644068516,4.84138170612904,5.51574426739215,-7.292057365816,9.9708764878652,0.553556390890037,1.72246705450803,8
"420","providence 2016",0,9,4.7821300682167,4.57551311149281,5.24299117882919,-6.98730117100606,9.11103990678707,0.510932570982104,1.53458973373616,8
"421","indiana 2016",0,5,6.97971797540276,7.27064696332046,6.13926267281106,-8.19811790671618,9.89845747025121,0.651791741875629,2.0171740577749,10
"422","chattanooga 2016",0,12,5.69540080239807,1.51305271044377,5.6330795119899,-7.76463848146591,12.2556258681895,0.551233230284963,1.73761055000706,8
"423","kentucky 2016",0,4,6.62940175555405,7.52074791287259,5.72612481857765,-6.68272241674313,10.5859240069085,0.630461838280361,1.90681464758366,9
"424","stony-brook 2016",0,13,6.83349534410241,2.33267110170522,5.62815767284992,-7.35460026278979,10.6752886836028,0.662985768025788,1.90040168546985,8
"425","notre-dame 2016",0,6,4.95598566536593,5.11832643147249,5.71371725731895,-6.44827995546325,8.75404861210988,0.536253523930875,1.85668957553556,8
"426","michigan 2016",0,11,5.79528305012432,5.90240648386389,5.81332373508844,-6.30595245574283,7.18515636690109,0.397575651545594,1.82474491009402,9
"427","west-virginia 2016",0,3,6.46801495508397,7.53245248259942,5.38667160859896,-7.86729483840674,11.5732792348935,0.774357250694275,1.7307263188845,10
"428","stephen-f-austin 2016",0,14,7.79679387888686,3.97641903521805,5.85980361351139,-7.55067574109362,11.851370510397,0.596587633945537,1.90681342725139,9
"429","wisconsin 2016",0,7,4.93807905504529,5.05312663992729,5.26765665236051,-7.00751675642363,8.86257527960998,0.555649429173278,1.54325681573444,9
"430","pittsburgh 2016",0,10,5.74333050684385,5.68727753030926,5.53054087530966,-7.10301901916788,8.51930384556923,0.647590038176497,1.73882153673161,11
"431","xavier 2016",0,2,6.10697096547358,6.62486071294404,5.55700898086685,-7.28047682329537,9.14428416317667,0.573826272989201,1.70769979762396,9
"432","weber-state 2016",0,15,5.8390178548593,0.504535746234933,5.87336210278541,-8.61134898326939,7.37888434579439,0.484701309759284,1.63399993723977,9
"433","virginia 2016",0,1,6.70361303566667,8.85540162980074,5.86199840446749,-6.43001206702088,9.49716172544612,0.49043108690487,1.88789141989661,9
"434","hampton 2016",0,16,3.94078517304957,-2.2926780404655,5.09499779249448,-7.59262849850692,7.7241396025206,0.585704447472068,1.4164992055121,9
"435","texas-tech 2016",0,8,4.66419299846868,4.88972560205625,5.58332572992701,-7.35863417303397,9.97383559405132,0.565931618702506,1.66335140447822,9
"436","butler 2016",0,9,5.8916202023172,5.77040035369838,5.65728073688426,-6.17204221501174,9.54301898835168,0.514375428340407,1.81235823418897,8
"437","purdue 2016",0,5,6.52582004864299,7.28797797327547,5.76207871608712,-7.54608076543699,8.31134894411722,0.56496424643349,1.76508301612899,10
"438","arkansas-little-rock 2016",0,12,6.5874582604366,3.40416093770699,5.60811176968671,-6.59727308546681,9.6494532199271,0.490226158772503,1.7518740435873,9
"439","iowa-state 2016",0,4,5.2242095133982,5.66988234343025,5.92327039543997,-6.88915407090955,9.25394312518323,0.451664262495656,1.8034477682536,8
"440","iona 2016",0,13,5.25782397943444,1.85984986613028,5.72711425206125,-7.68659537116641,10.5729232221523,0.534142543966103,1.75357031684221,9
"441","seton-hall 2016",0,6,5.3984518816872,5.45807408664783,5.33171218915614,-8.12909317581922,10.9950353519828,0.625335736835016,1.62676682282047,8
